work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size
2024,Senior,full-time,AI Engineer,202730,US,0,US,medium
2024,Senior,full-time,AI Engineer,92118,US,0,US,medium
2024,Senior,full-time,Data Engineer,130500,US,0,US,medium
2024,Senior,full-time,Data Engineer,96000,US,0,US,medium
2024,Senior,full-time,Machine Learning Engineer,190000,US,0,US,medium
2024,Senior,full-time,Machine Learning Engineer,160000,US,0,US,medium
2024,Mid,full-time,ML Engineer,65000,US,0,US,medium
2024,Junior,full-time,Data Analyst,101520,US,0,US,medium
2024,Junior,full-time,Data Analyst,45864,US,0,US,medium
2024,Senior,full-time,Data Engineer,172469,US,0,US,medium
2024,Senior,full-time,Data Engineer,114945,US,0,US,medium
2024,Experienced,full-time,NLP Engineer,200000,US,0,US,medium
2024,Experienced,full-time,NLP Engineer,150000,US,0,US,medium
2024,Mid,full-time,Data Scientist,156450,US,1,US,medium
2024,Mid,full-time,Data Scientist,119200,US,1,US,medium
2024,Senior,full-time,Data Analyst,170000,US,0,US,medium
2024,Senior,full-time,Data Analyst,130000,US,0,US,medium
2024,Senior,full-time,Applied Scientist,222200,US,0,US,large
2024,Senior,full-time,Applied Scientist,136000,US,0,US,large
2024,Mid,full-time,Data Manager,128000,US,0,US,medium
2024,Mid,full-time,Data Manager,81500,US,0,US,medium
2024,Senior,full-time,Data Architect,93838,US,0,US,medium
2024,Senior,full-time,Data Architect,69535,US,0,US,medium
2024,Junior,full-time,Data Analyst,75000,US,0,US,medium
2024,Junior,full-time,Data Analyst,65000,US,0,US,medium
2024,Mid,full-time,Data Operations Manager,150000,US,0,US,medium
2024,Mid,full-time,Data Operations Manager,125000,US,0,US,medium
2024,Mid,full-time,Research Scientist,260570,US,0,US,medium
2024,Mid,full-time,Research Scientist,167030,US,0,US,medium
2024,Junior,full-time,Data Engineer,120000,US,0,US,medium
2024,Junior,full-time,Data Engineer,100000,US,0,US,medium
2024,Senior,full-time,Data Engineer,190000,US,1,US,medium
2024,Senior,full-time,Data Engineer,155000,US,1,US,medium
2024,Senior,full-time,Data Analyst,174000,US,1,US,medium
2024,Senior,full-time,Data Analyst,116000,US,1,US,medium
2024,Mid,full-time,Data Analyst,100000,US,0,US,medium
2024,Mid,full-time,Data Analyst,80000,US,0,US,medium
2024,Mid,full-time,Data Analyst,145000,US,0,US,medium
2024,Mid,full-time,Data Analyst,95000,US,0,US,medium
2024,Mid,full-time,Data Scientist,120000,AU,0,AU,small
2024,Mid,full-time,Data Scientist,70000,AU,0,AU,small
2024,Mid,contract,Data Scientist,130000,US,0,US,medium
2024,Mid,contract,Data Scientist,110000,US,0,US,medium
2024,Mid,full-time,Data Science Manager,240000,US,0,US,medium
2024,Mid,full-time,Data Science Manager,180000,US,0,US,medium
2024,Senior,full-time,Business Intelligence Engineer,202800,US,0,US,medium
2024,Senior,full-time,Business Intelligence Engineer,115000,US,0,US,medium
2024,Senior,full-time,Data Architect,100000,GB,0,GB,medium
2024,Senior,full-time,Data Architect,56250,GB,0,GB,medium
2024,Senior,full-time,Data Analyst,69230,CA,0,CA,medium
2024,Senior,full-time,Data Analyst,57692,CA,0,CA,medium
2024,Mid,full-time,Data Analyst,112300,US,0,US,medium
2024,Mid,full-time,Data Analyst,75100,US,0,US,medium
2024,Mid,full-time,Business Intelligence,178200,US,0,US,medium
2024,Mid,full-time,Business Intelligence,87000,US,0,US,medium
2024,Senior,full-time,Data Scientist,138000,CA,0,CA,medium
2024,Senior,full-time,Data Scientist,72000,CA,0,CA,medium
2024,Mid,full-time,ML Engineer,252000,US,0,US,medium
2024,Mid,full-time,ML Engineer,168000,US,0,US,medium
2024,Senior,full-time,Data Modeler,140000,US,1,US,medium
2024,Senior,full-time,Data Modeler,130000,US,1,US,medium
2024,Senior,full-time,Machine Learning Engineer,190000,US,0,US,medium
2024,Senior,full-time,Machine Learning Engineer,100000,US,0,US,medium
2024,Mid,full-time,Data Scientist,150650,US,0,US,medium
2024,Mid,full-time,Data Scientist,106700,US,0,US,medium
2024,Senior,full-time,Data Scientist,192300,US,0,US,medium
2024,Senior,full-time,Data Scientist,107900,US,0,US,medium
2024,Mid,full-time,Data Integration Specialist,115000,US,1,US,medium
2024,Mid,full-time,Data Integration Specialist,95500,US,1,US,medium
2024,Mid,full-time,Research Scientist,195000,US,1,US,medium
2024,Mid,full-time,Research Scientist,160000,US,1,US,medium
2024,Senior,full-time,Data Scientist,257600,US,0,US,medium
2024,Senior,full-time,Data Scientist,146000,US,0,US,medium
2024,Junior,full-time,Data Analyst,90000,CA,0,CA,medium
2024,Junior,full-time,Data Analyst,70000,CA,0,CA,medium
2024,Senior,full-time,Machine Learning Engineer,122222,NL,1,NL,small
2024,Senior,full-time,Machine Learning Engineer,77777,NL,1,NL,small
2024,Senior,full-time,Data Engineer,158200,US,0,US,medium
2024,Senior,full-time,Data Engineer,74100,US,0,US,medium
2024,Senior,full-time,Data Engineer,231400,US,0,US,medium
2024,Senior,full-time,Data Engineer,170955,US,0,US,medium
2024,Mid,full-time,Data Engineer,137000,US,0,US,medium
2024,Mid,full-time,Data Engineer,60300,US,0,US,medium
2024,Mid,full-time,Data Analyst,101098,US,0,US,medium
2024,Mid,full-time,Data Analyst,59469,US,0,US,medium
2024,Mid,full-time,Data Product Manager,166363,US,0,US,medium
2024,Mid,full-time,Data Product Manager,103977,US,0,US,medium
2024,Senior,full-time,Data Manager,166000,US,0,US,medium
2024,Senior,full-time,Data Manager,104000,US,0,US,medium
2024,Senior,full-time,Research Scientist,170400,US,0,US,medium
2024,Senior,full-time,Research Scientist,123800,US,0,US,medium
2024,Mid,full-time,Data Visualization Specialist,94763,US,1,US,medium
2024,Mid,full-time,Data Visualization Specialist,67750,US,1,US,medium
2024,Senior,full-time,Machine Learning Engineer,251250,US,0,US,medium
2024,Senior,full-time,Machine Learning Engineer,120750,US,0,US,medium
2024,Mid,full-time,Data Analyst,33333,LT,0,LT,medium
2024,Mid,full-time,Data Analyst,28666,LT,0,LT,medium
2024,Senior,full-time,Data Scientist,189615,US,0,US,medium
2024,Senior,full-time,Data Scientist,150385,US,0,US,medium
2024,Senior,full-time,Data Science,283800,US,0,US,medium
2024,Senior,full-time,Data Science,234700,US,0,US,medium
2024,Mid,full-time,Data Scientist,109000,US,1,US,medium
2024,Mid,full-time,Data Scientist,93000,US,1,US,medium
2024,Mid,full-time,Data Scientist,164000,US,0,US,medium
2024,Mid,full-time,Data Scientist,131000,US,0,US,medium
2024,Mid,full-time,Data Specialist,57008,GB,0,GB,medium
2024,Mid,full-time,Data Specialist,38651,GB,0,GB,medium
2024,Mid,full-time,Data Analyst,68750,GB,1,GB,medium
2024,Mid,full-time,Data Analyst,56250,GB,1,GB,medium
2024,Senior,full-time,Business Intelligence Lead,144300,US,0,US,medium
2024,Senior,full-time,Business Intelligence Lead,104800,US,0,US,medium
2024,Senior,full-time,Data Engineer,212750,US,0,US,medium
2024,Senior,full-time,Data Engineer,157250,US,0,US,medium
2024,Junior,full-time,Data Analyst,150000,US,1,US,medium
2024,Junior,full-time,Data Analyst,129200,US,1,US,medium
2024,Senior,full-time,Machine Learning Engineer,265000,US,0,US,medium
2024,Senior,full-time,Machine Learning Engineer,170000,US,0,US,medium
2024,Senior,full-time,Data Scientist,190000,US,1,US,medium
2024,Senior,full-time,Data Scientist,155000,US,1,US,medium
2024,Senior,full-time,Data Engineer,165000,US,1,US,medium
2024,Senior,full-time,Data Engineer,100000,US,1,US,medium
2024,Mid,full-time,Data Engineer,213900,US,1,US,medium
2024,Mid,full-time,Data Engineer,126500,US,1,US,medium
2024,Senior,full-time,Research Analyst,130000,US,0,US,medium
2024,Senior,full-time,Research Analyst,104000,US,0,US,medium
2024,Senior,full-time,Machine Learning Engineer,225000,US,1,US,medium
2024,Senior,full-time,Machine Learning Engineer,66000,US,1,US,medium
2024,Senior,full-time,ML Engineer,220000,US,0,US,medium
2024,Mid,full-time,Business Intelligence Analyst,110000,US,0,US,medium
2024,Mid,full-time,Business Intelligence Analyst,85000,US,0,US,medium
2024,Senior,full-time,Machine Learning Engineer,282000,US,1,US,medium
2024,Senior,full-time,Machine Learning Engineer,188000,US,1,US,medium
2024,Experienced,full-time,Data Science,219650,US,1,US,medium
2024,Experienced,full-time,Data Science,136000,US,1,US,medium
2024,Senior,full-time,Data Science,210850,US,0,US,medium
2024,Senior,full-time,Data Science,145400,US,0,US,medium
2024,Mid,full-time,Data Analyst,143800,US,1,US,medium
2024,Mid,full-time,Data Analyst,106300,US,1,US,medium
2024,Mid,full-time,AI Engineer,150000,US,1,US,medium
2024,Mid,full-time,AI Engineer,90200,US,1,US,medium
2024,Mid,full-time,Data Engineer,140000,US,0,US,medium
2024,Mid,full-time,Data Engineer,110000,US,0,US,medium
2024,Senior,full-time,Data Analyst,140000,US,1,US,medium
2024,Senior,full-time,Data Analyst,120000,US,1,US,medium
2024,Junior,part-time,AI Software Engineer,117647,DK,0,DK,small
2024,Mid,part-time,Research Scientist,138000,US,0,US,medium
2024,Mid,part-time,Research Scientist,86000,US,0,US,medium
2024,Mid,full-time,Data Scientist,199700,US,0,US,medium
2024,Mid,full-time,Data Scientist,70800,US,0,US,medium
2024,Senior,full-time,Research Analyst,175000,US,0,US,medium
2024,Senior,full-time,Research Analyst,130000,US,0,US,medium
2024,Senior,full-time,Data Architect,169847,US,1,US,medium
2024,Senior,full-time,Data Architect,131631,US,1,US,medium
